GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api,com.APISafetyNetAlerts.apiForSNA.model,DynamicPerson,76,0,0,0,32,0,16,0,16,0
api,com.APISafetyNetAlerts.apiForSNA.model,MedicalRecords,0,56,0,0,0,24,0,12,0,12
api,com.APISafetyNetAlerts.apiForSNA.model,ListMedicalRecords,0,10,0,0,0,5,0,3,0,3
api,com.APISafetyNetAlerts.apiForSNA.model,ListFireStations,0,10,0,0,0,5,0,3,0,3
api,com.APISafetyNetAlerts.apiForSNA.model,FireStation,0,26,0,0,0,12,0,6,0,6
api,com.APISafetyNetAlerts.apiForSNA.model,ListPerson,0,10,0,0,0,5,0,3,0,3
api,com.APISafetyNetAlerts.apiForSNA.model,Person,0,76,0,0,0,32,0,16,0,16
api,com.APISafetyNetAlerts.apiForSNA.controller,FireStationController,12,444,3,11,3,101,3,13,0,9
api,com.APISafetyNetAlerts.apiForSNA.controller,PersonController,16,514,3,25,4,118,3,21,0,10
api,com.APISafetyNetAlerts.apiForSNA.controller,MedicalRecordController,0,22,0,0,0,8,0,5,0,5
api,com.APISafetyNetAlerts.apiForSNA,ApiForSnaApplication,5,4,0,0,2,2,1,2,1,2
api,com.APISafetyNetAlerts.apiForSNA.config,HttpTraceConfiguration,0,7,0,0,0,2,0,2,0,2
api,com.APISafetyNetAlerts.apiForSNA.restModel,PersonAdaptative,9,71,0,0,3,31,3,20,3,20
api,com.APISafetyNetAlerts.apiForSNA.restModel,ListPersonAdaptative,0,24,0,0,0,10,0,7,0,7
api,com.APISafetyNetAlerts.apiForSNA.util,FirestationPersonUtil,0,132,0,6,0,28,0,11,0,8
api,com.APISafetyNetAlerts.apiForSNA.util,FirestationUtil,0,97,0,8,0,22,0,8,0,4
api,com.APISafetyNetAlerts.apiForSNA.util,PersonUtil,5,134,5,13,0,28,4,9,0,4
api,com.APISafetyNetAlerts.apiForSNA.util,MedicalRecordUtil,0,381,3,47,0,75,3,30,0,8
api,com.APISafetyNetAlerts.apiForSNA.repository,FireStationRepositoryImpl,47,460,1,49,15,99,1,33,0,9
api,com.APISafetyNetAlerts.apiForSNA.repository,MedicalRecordsRepositoryImpl,23,418,0,54,10,101,0,34,0,7
api,com.APISafetyNetAlerts.apiForSNA.repository,PersonRepositoryImpl,27,661,0,82,11,135,0,54,0,13
api,com.APISafetyNetAlerts.apiForSNA.service,FireStationService,0,32,0,0,0,10,0,7,0,7
api,com.APISafetyNetAlerts.apiForSNA.service,MedicalRecordService,0,22,0,0,0,8,0,5,0,5
api,com.APISafetyNetAlerts.apiForSNA.service,PersonService,0,47,0,0,0,13,0,10,0,10
